Date,Price
01/01/2022,76357
02/01/2022,72846
03/01/2022,68357
04/01/2022,53462
05/01/2022,52692
06/01/2022,53636
07/01/2022,50000
08/01/2022,45000
09/01/2022,42923
10/01/2022,43214
11/01/2022,41538
12/01/2022,41333
13/01/2022,39500
14/01/2022,39250
15/01/2022,39000
16/01/2022,30900
17/01/2022,24667
18/01/2022,29643
19/01/2022,29364
20/01/2022,29000
21/01/2022,28545
22/01/2022,27182
23/01/2022,28583
24/01/2022,31929
25/01/2022,39583
26/01/2022,39000
27/01/2022,38500
28/01/2022,35000
29/01/2022,35357
30/01/2022,34800
31/01/2022,36875
01/02/2022,45154
02/02/2022,47462
03/02/2022,48167
04/02/2022,44885
05/02/2022,47192
06/02/2022,49000
07/02/2022,65333
08/02/2022,64000
09/02/2022,64000
10/02/2022,60929
11/02/2022,60250
12/02/2022,60000
13/02/2022,55714
14/02/2022,55750
15/02/2022,54615
16/02/2022,55286
17/02/2022,49778
18/02/2022,52583
19/02/2022,53700
20/02/2022,50000
21/02/2022,49143
22/02/2022,48929
23/02/2022,46167
24/02/2022,44667
25/02/2022,43643
26/02/2022,44462
27/02/2022,45000
28/02/2022,44462
01/03/2022,43714
02/03/2022,41231
03/03/2022,40846
04/03/2022,40385
05/03/2022,38500
06/03/2022,38000
07/03/2022,31000
08/03/2022,28778
09/03/2022,28615
10/03/2022,27545
11/03/2022,25000
12/03/2022,25071
13/03/2022,24167
14/03/2022,24083
15/03/2022,25000
16/03/2022,25000
17/03/2022,25000
18/03/2022,24654
19/03/2022,25423
20/03/2022,27269
21/03/2022,28167
22/03/2022,24214
23/03/2022,24077
24/03/2022,24154
25/03/2022,24929
26/03/2022,25385
27/03/2022,35857
28/03/2022,35571
29/03/2022,38692
30/03/2022,39615
31/03/2022,44286
01/04/2022,44692
02/04/2022,46333
03/04/2022,55000
04/04/2022,47100
05/04/2022,53250
06/04/2022,56692
07/04/2022,63462
08/04/2022,70000
09/04/2022,90417
10/04/2022,87500
11/04/2022,87500
12/04/2022,87500
13/04/2022,87500
14/04/2022,72857
15/04/2022,72000
16/04/2022,71385
17/04/2022,78857
18/04/2022,85100
19/04/2022,87400
20/04/2022,85956
21/04/2022,85354
22/04/2022,84667
23/04/2022,85837
24/04/2022,85837
25/04/2022,85837
26/04/2022,83837
27/04/2022,85449
28/04/2022,86204
29/04/2022,86122
30/04/2022,86061
01/05/2022,86061
02/05/2022,86061
03/05/2022,88263
04/05/2022,88663
05/05/2022,87049
06/05/2022,88839
07/05/2022,88904
08/05/2022,88904
09/05/2022,88904
10/05/2022,84714
11/05/2022,84571
12/05/2022,84122
13/05/2022,79920
14/05/2022,76920
15/05/2022,77410
16/05/2022,77410
17/05/2022,72643
18/05/2022,71559
19/05/2022,69278
20/05/2022,66488
21/05/2022,65980
22/05/2022,65980
23/05/2022,65980
24/05/2022,61298
25/05/2022,60502
26/05/2022,60441
27/05/2022,59735
28/05/2022,59639
29/05/2022,59639
30/05/2022,59639
31/05/2022,60182
01/06/2022,62367
02/06/2022,62251
03/06/2022,59161
04/06/2022,59251
05/06/2022,59251
06/06/2022,59251
07/06/2022,56957
08/06/2022,55612
09/06/2022,54565
10/06/2022,51347
11/06/2022,51039
12/06/2022,51347
13/06/2022,51347
14/06/2022,43810
15/06/2022,42714
16/06/2022,42714
17/06/2022,40469
18/06/2022,40204
19/06/2022,40204
20/06/2022,40204
21/06/2022,38327
22/06/2022,37022
23/06/2022,37288
24/06/2022,36798
25/06/2022,36382
26/06/2022,36382
27/06/2022,36382
28/06/2022,40524
29/06/2022,42198
30/06/2022,42924
01/07/2022,45286
02/07/2022,44980
03/07/2022,44980
04/07/2022,44980
05/07/2022,48082
06/07/2022,48859
07/07/2022,50171
08/07/2022,50434
09/07/2022,51560
10/07/2022,51560
11/07/2022,51560
12/07/2022,49891
13/07/2022,49537
14/07/2022,49907
15/07/2022,49593
16/07/2022,53576
17/07/2022,53576
18/07/2022,53576
19/07/2022,61850
20/07/2022,60511
21/07/2022,61298
22/07/2022,60280
23/07/2022,59885
24/07/2022,59885
25/07/2022,59885
26/07/2022,55081
27/07/2022,55156
28/07/2022,54087
29/07/2022,54493
30/07/2022,54894
31/07/2022,54894
01/08/2022,54894
02/08/2022,53802
03/08/2022,52919
04/08/2022,50716
05/08/2022,47824
06/08/2022,46628
07/08/2022,46628
08/08/2022,46628
09/08/2022,43722
10/08/2022,45031
11/08/2022,44574
12/08/2022,43204
13/08/2022,41635
14/08/2022,41635
15/08/2022,41635
16/08/2022,39683
17/08/2022,40974
18/08/2022,38561
19/08/2022,37761
20/08/2022,36050
21/08/2022,36050
22/08/2022,36050
23/08/2022,35641
24/08/2022,35456
25/08/2022,35493
26/08/2022,34857
27/08/2022,32784
28/08/2022,32784
29/08/2022,32784
30/08/2022,31389
31/08/2022,31302
01/09/2022,30715
02/09/2022,29154
03/09/2022,29700
04/09/2022,29700
05/09/2022,29700
06/09/2022,29356
07/09/2022,29243
08/09/2022,29446
09/09/2022,28930
10/09/2022,28743
11/09/2022,28743
12/09/2022,28743
13/09/2022,28650
14/09/2022,28470
15/09/2022,28559
16/09/2022,29770
17/09/2022,30237
18/09/2022,30237
19/09/2022,30237
20/09/2022,31141
21/09/2022,31241
22/09/2022,30913
23/09/2022,30519
24/09/2022,29970
25/09/2022,29970
26/09/2022,29970
27/09/2022,27041
28/09/2022,27259
29/09/2022,30361
30/09/2022,31317
01/10/2022,31802
02/10/2022,31802
03/10/2022,31802
04/10/2022,39494
05/10/2022,42148
06/10/2022,44656
07/10/2022,44700
08/10/2022,52409
09/10/2022,52409
10/10/2022,52409
11/10/2022,43431
12/10/2022,41137
13/10/2022,41128
14/10/2022,39641
15/10/2022,37952
16/10/2022,37952
17/10/2022,37952
18/10/2022,36611
19/10/2022,36089
20/10/2022,36074
21/10/2022,35519
22/10/2022,40346
23/10/2022,40346
24/10/2022,40346
25/10/2022,41783
26/10/2022,42920
27/10/2022,44920
28/10/2022,46333
29/10/2022,48037
30/10/2022,47630
31/10/2022,
01/11/2022,
02/11/2022,
03/11/2022,
04/11/2022,
05/11/2022,
06/11/2022,
07/11/2022,
08/11/2022,
09/11/2022,
10/11/2022,
11/11/2022,
12/11/2022,
13/11/2022,
14/11/2022,
15/11/2022,
16/11/2022,
17/11/2022,
18/11/2022,
19/11/2022,
20/11/2022,
21/11/2022,
22/11/2022,
23/11/2022,
24/11/2022,
25/11/2022,
26/11/2022,
27/11/2022,
28/11/2022,
29/11/2022,
30/11/2022,
01/12/2022,
02/12/2022,
03/12/2022,
04/12/2022,
05/12/2022,
06/12/2022,
07/12/2022,
08/12/2022,
09/12/2022,
10/12/2022,
11/12/2022,
12/12/2022,
13/12/2022,
14/12/2022,
15/12/2022,
16/12/2022,
17/12/2022,
18/12/2022,
19/12/2022,
