Date,Province,Commodity,Price
2020-01-01,,Chili (bird's eye),6561.0
2020-01-01,,Chili (red),6349.0
2020-01-01,ACEH,Chili (bird's eye),39381.943333333336
2020-01-01,ACEH,"Chili (bird's eye, green)",39305.555
2020-01-01,ACEH,"Chili (bird's eye, red)",44400.0
2020-01-01,ACEH,Chili (red),29663.333999999995
2020-01-01,ACEH,"Chili (red, curly)",30155.556666666667
2020-01-01,ACEH,"Chili (red, large)",29000.0
2020-01-01,BALI,Chili (bird's eye),45390.7375
2020-01-01,BALI,"Chili (bird's eye, green)",33128.700000000004
2020-01-01,BALI,"Chili (bird's eye, red)",57652.7775
2020-01-01,BALI,Chili (red),47188.8875
2020-01-01,BALI,"Chili (red, curly)",45416.245
2020-01-01,BALI,"Chili (red, large)",48308.3325
2020-01-01,BANTEN,Chili (bird's eye),58705.46
2020-01-01,BANTEN,"Chili (bird's eye, green)",36183.333999999995
2020-01-01,BANTEN,"Chili (bird's eye, red)",80175.0
2020-01-01,BANTEN,Chili (red),68962.5
2020-01-01,BANTEN,"Chili (red, curly)",66269.44333333334
2020-01-01,BANTEN,"Chili (red, large)",72410.0
2020-01-01,BENGKULU,Chili (bird's eye),40916.13
2020-01-01,BENGKULU,"Chili (bird's eye, green)",41334.7675
2020-01-01,BENGKULU,"Chili (bird's eye, red)",44009.0525
2020-01-01,BENGKULU,Chili (red),47171.5525
2020-01-01,BENGKULU,"Chili (red, curly)",50577.4425
2020-01-01,BENGKULU,"Chili (red, large)",43765.66
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,Chili (bird's eye),49683.33
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (bird's eye, green)",36141.665
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (bird's eye, red)",63125.0
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,Chili (red),56279.17
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (red, curly)",48233.335
2020-01-01,DAERAH ISTIMEWA YOGYAKARTA,"Chili (red, large)",64325.0
2020-01-01,DKI JAKARTA,Chili (bird's eye),63083.333333333336
2020-01-01,DKI JAKARTA,"Chili (bird's eye, green)",41944.443333333336
2020-01-01,DKI JAKARTA,"Chili (bird's eye, red)",84222.22333333333
2020-01-01,DKI JAKARTA,Chili (red),75319.44333333334
2020-01-01,DKI JAKARTA,"Chili (red, curly)",67055.55666666666
2020-01-01,DKI JAKARTA,"Chili (red, large)",83583.33333333333
2020-01-01,GORONTALO,Chili (bird's eye),57625.0
2020-01-01,GORONTALO,"Chili (bird's eye, green)",48775.863333333335
2020-01-01,GORONTALO,"Chili (bird's eye, red)",59770.11666666667
2020-01-01,GORONTALO,Chili (red),28000.0
2020-01-01,GORONTALO,"Chili (red, curly)",28388.89
2020-01-01,GORONTALO,"Chili (red, large)",26319.445
2020-01-01,JAMBI,Chili (bird's eye),59112.5025
2020-01-01,JAMBI,"Chili (bird's eye, green)",40000.0
2020-01-01,JAMBI,"Chili (bird's eye, red)",80283.3325
2020-01-01,JAMBI,Chili (red),37466.67
2020-01-01,JAMBI,"Chili (red, curly)",41045.832500000004
2020-01-01,JAMBI,"Chili (red, large)",40162.5
2020-01-01,JAWA BARAT,Chili (bird's eye),54727.56875
2020-01-01,JAWA BARAT,"Chili (bird's eye, green)",33536.278125
2020-01-01,JAWA BARAT,"Chili (bird's eye, red)",76791.76166666666
2020-01-01,JAWA BARAT,Chili (red),60951.977647058826
2020-01-01,JAWA BARAT,"Chili (red, curly)",57493.32611111111
2020-01-01,JAWA BARAT,"Chili (red, large)",64359.482777777775
2020-01-01,JAWA TENGAH,Chili (bird's eye),50223.10666666667
2020-01-01,JAWA TENGAH,"Chili (bird's eye, green)",33257.68875
2020-01-01,JAWA TENGAH,"Chili (bird's eye, red)",67249.69347826087
2020-01-01,JAWA TENGAH,Chili (red),51582.62772727273
2020-01-01,JAWA TENGAH,"Chili (red, curly)",52103.323913043474
2020-01-01,JAWA TENGAH,"Chili (red, large)",51573.99333333334
2020-01-01,JAWA TIMUR,Chili (bird's eye),44582.08888888889
2020-01-01,JAWA TIMUR,"Chili (bird's eye, green)",30952.358947368426
2020-01-01,JAWA TIMUR,"Chili (bird's eye, red)",62374.60375
2020-01-01,JAWA TIMUR,Chili (red),55710.21777777778
2020-01-01,JAWA TIMUR,"Chili (red, curly)",52714.04142857143
2020-01-01,JAWA TIMUR,"Chili (red, large)",57270.20578947368
2020-01-01,KALIMANTAN BARAT,Chili (bird's eye),61456.9
2020-01-01,KALIMANTAN BARAT,"Chili (bird's eye, green)",56080.556666666664
2020-01-01,KALIMANTAN BARAT,"Chili (bird's eye, red)",67050.0
2020-01-01,KALIMANTAN BARAT,Chili (red),41870.835
2020-01-01,KALIMANTAN BARAT,"Chili (red, curly)",44158.332500000004
2020-01-01,KALIMANTAN BARAT,"Chili (red, large)",40047.223333333335
2020-01-01,KALIMANTAN SELATAN,Chili (bird's eye),38255.746666666666
2020-01-01,KALIMANTAN SELATAN,"Chili (bird's eye, green)",27316.666666666668
2020-01-01,KALIMANTAN SELATAN,"Chili (bird's eye, red)",49872.22333333333
